,temperature,geometry
658823.0,,"POLYGON ((-105.03749997 29.58750000333334, -105.03749997 29.62916666333333, -105.07916663 29.62916666333333, -105.07916663 29.58750000333334, -105.03749997 29.58750000333334))"
658820.0,,"POLYGON ((-105.16249997 29.58750000333334, -105.16249997 29.62916666333333, -105.20416663 29.62916666333333, -105.20416663 29.58750000333334, -105.16249997 29.58750000333334))"
658821.0,,"POLYGON ((-105.1208333033333 29.58750000333334, -105.1208333033333 29.62916666333333, -105.1624999633333 29.62916666333333, -105.1624999633333 29.58750000333334, -105.1208333033333 29.58750000333334))"
658819.0,,"POLYGON ((-105.2041666366667 29.58750000333334, -105.2041666366667 29.62916666333333, -105.2458332966667 29.62916666333333, -105.2458332966667 29.58750000333334, -105.2041666366667 29.58750000333334))"
658815.0,,"POLYGON ((-105.3708333033333 29.58750000333334, -105.3708333033333 29.62916666333333, -105.4124999633333 29.62916666333333, -105.4124999633333 29.58750000333334, -105.3708333033333 29.58750000333334))"
658826.0,,"POLYGON ((-104.91249997 29.58750000333334, -104.91249997 29.62916666333333, -104.95416663 29.62916666333333, -104.95416663 29.58750000333334, -104.91249997 29.58750000333334))"
658827.0,,"POLYGON ((-104.8708333033333 29.58750000333334, -104.8708333033333 29.62916666333333, -104.9124999633333 29.62916666333333, -104.9124999633333 29.58750000333334, -104.8708333033333 29.58750000333334))"
658816.0,,"POLYGON ((-105.3291666366667 29.58750000333334, -105.3291666366667 29.62916666333333, -105.3708332966667 29.62916666333333, -105.3708332966667 29.58750000333334, -105.3291666366667 29.58750000333334))"
658825.0,,"POLYGON ((-104.9541666366667 29.58750000333334, -104.9541666366667 29.62916666333333, -104.9958332966667 29.62916666333333, -104.9958332966667 29.58750000333334, -104.9541666366667 29.58750000333334))"
658817.0,,"POLYGON ((-105.28749997 29.58750000333334, -105.28749997 29.62916666333333, -105.32916663 29.62916666333333, -105.32916663 29.58750000333334, -105.28749997 29.58750000333334))"
658824.0,,"POLYGON ((-104.9958333033333 29.58750000333334, -104.9958333033333 29.62916666333333, -105.0374999633333 29.62916666333333, -105.0374999633333 29.58750000333334, -104.9958333033333 29.58750000333334))"
658822.0,,"POLYGON ((-105.0791666366667 29.58750000333334, -105.0791666366667 29.62916666333333, -105.1208332966667 29.62916666333333, -105.1208332966667 29.58750000333334, -105.0791666366667 29.58750000333334))"
658818.0,,"POLYGON ((-105.2458333033333 29.58750000333334, -105.2458333033333 29.62916666333333, -105.2874999633333 29.62916666333333, -105.2874999633333 29.58750000333334, -105.2458333033333 29.58750000333334))"
657434.0,,"POLYGON ((-105.16249997 29.62916667, -105.16249997 29.67083333, -105.20416663 29.67083333, -105.20416663 29.62916667, -105.16249997 29.62916667))"
657432.0,,"POLYGON ((-105.2458333033333 29.62916667, -105.2458333033333 29.67083333, -105.2874999633333 29.67083333, -105.2874999633333 29.62916667, -105.2458333033333 29.62916667))"
657436.0,,"POLYGON ((-105.0791666366667 29.62916667, -105.0791666366667 29.67083333, -105.1208332966667 29.67083333, -105.1208332966667 29.62916667, -105.0791666366667 29.62916667))"
657430.0,,"POLYGON ((-105.3291666366667 29.62916667, -105.3291666366667 29.67083333, -105.3708332966667 29.67083333, -105.3708332966667 29.62916667, -105.3291666366667 29.62916667))"
657431.0,,"POLYGON ((-105.28749997 29.62916667, -105.28749997 29.67083333, -105.32916663 29.67083333, -105.32916663 29.62916667, -105.28749997 29.62916667))"
657433.0,,"POLYGON ((-105.2041666366667 29.62916667, -105.2041666366667 29.67083333, -105.2458332966667 29.67083333, -105.2458332966667 29.62916667, -105.2041666366667 29.62916667))"
